quad,eg_density,time,site
1,24,pre_project,project
2,28,pre_project,project
3,32,pre_project,project
4,24,pre_project,project
5,25,pre_project,project
6,18,pre_project,project
7,19,pre_project,project
8,27,pre_project,project
9,31,pre_project,project
10,19,pre_project,project
11,32,pre_project,project
12,22,pre_project,project
13,15,pre_project,project
14,29,pre_project,project
15,22,pre_project,project
16,24,pre_project,project
17,17,pre_project,project
18,32,pre_project,project
19,24,pre_project,project
20,25,pre_project,project
21,17,pre_project,project
22,33,pre_project,project
23,28,pre_project,project
24,33,pre_project,project
25,21,pre_project,project
26,21,pre_project,project
27,24,pre_project,project
28,19,pre_project,project
29,23,pre_project,project
30,21,pre_project,project
31,29,pre_project,project
32,20,pre_project,project
33,24,pre_project,project
34,22,pre_project,project
35,22,pre_project,project
36,16,pre_project,project
37,23,pre_project,project
38,25,pre_project,project
39,26,pre_project,project
40,26,pre_project,project
41,26,pre_project,project
42,29,pre_project,project
43,25,pre_project,project
44,28,pre_project,project
45,20,pre_project,project
46,27,pre_project,project
47,16,pre_project,project
48,26,pre_project,project
49,20,pre_project,project
50,28,pre_project,project
51,16,pre_project,project
52,25,pre_project,project
53,26,pre_project,project
54,20,pre_project,project
55,26,pre_project,project
56,24,pre_project,project
57,29,pre_project,project
58,21,pre_project,project
59,28,pre_project,project
60,15,pre_project,project
61,32,pre_project,project
62,26,pre_project,project
63,17,pre_project,project
64,20,pre_project,project
65,21,pre_project,project
66,23,pre_project,project
67,23,pre_project,project
68,26,pre_project,project
69,18,pre_project,project
70,26,pre_project,project
71,17,pre_project,project
72,27,pre_project,project
73,23,pre_project,project
74,20,pre_project,project
75,23,pre_project,project
76,16,pre_project,project
77,21,pre_project,project
78,25,pre_project,project
79,28,pre_project,project
80,29,pre_project,project
81,19,pre_project,project
82,28,pre_project,project
83,25,pre_project,project
84,21,pre_project,project
85,21,pre_project,project
86,25,pre_project,project
87,26,pre_project,project
88,26,pre_project,project
89,22,pre_project,project
90,31,pre_project,project
91,27,pre_project,project
92,19,pre_project,project
93,27,pre_project,project
94,25,pre_project,project
95,27,pre_project,project
96,30,pre_project,project
97,32,pre_project,project
98,23,pre_project,project
99,25,pre_project,project
100,28,pre_project,project
101,21,pre_project,project
102,24,pre_project,project
103,18,pre_project,project
104,20,pre_project,project
105,27,pre_project,project
106,25,pre_project,project
107,29,pre_project,project
108,24,pre_project,project
109,20,pre_project,project
110,22,pre_project,project
111,23,pre_project,project
112,26,pre_project,project
113,19,pre_project,project
114,22,pre_project,project
115,18,pre_project,project
116,22,pre_project,project
117,13,pre_project,project
118,19,pre_project,project
119,19,pre_project,project
120,19,pre_project,project
121,23,pre_project,project
122,21,pre_project,project
123,22,pre_project,project
124,35,pre_project,project
125,20,pre_project,project
126,27,pre_project,project
127,22,pre_project,project
128,19,pre_project,project
129,22,pre_project,project
130,20,pre_project,project
131,27,pre_project,project
132,17,pre_project,project
133,28,pre_project,project
134,22,pre_project,project
135,27,pre_project,project
136,30,pre_project,project
137,14,pre_project,project
138,29,pre_project,project
139,22,pre_project,project
140,16,pre_project,project
141,19,pre_project,project
142,18,pre_project,project
143,23,pre_project,project
144,25,pre_project,project
145,29,pre_project,project
146,22,pre_project,project
147,25,pre_project,project
148,27,pre_project,project
149,31,pre_project,project
150,19,pre_project,project
151,24,pre_project,project
152,24,pre_project,project
153,23,pre_project,project
154,24,pre_project,project
155,21,pre_project,project
156,24,pre_project,project
157,20,pre_project,project
158,24,pre_project,project
159,25,pre_project,project
160,25,pre_project,project
161,27,pre_project,project
162,20,pre_project,project
163,23,pre_project,project
164,22,pre_project,project
165,18,pre_project,project
166,32,pre_project,project
167,18,pre_project,project
168,25,pre_project,project
169,20,pre_project,project
170,21,pre_project,project
