"quad","density","time","site"
1,24,"pre","proj"
2,28,"pre","proj"
3,32,"pre","proj"
4,24,"pre","proj"
5,25,"pre","proj"
6,18,"pre","proj"
7,19,"pre","proj"
8,27,"pre","proj"
9,31,"pre","proj"
10,19,"pre","proj"
11,32,"pre","proj"
12,22,"pre","proj"
13,15,"pre","proj"
14,29,"pre","proj"
15,22,"pre","proj"
16,24,"pre","proj"
17,17,"pre","proj"
18,32,"pre","proj"
19,24,"pre","proj"
20,25,"pre","proj"
21,17,"pre","proj"
22,33,"pre","proj"
23,28,"pre","proj"
24,33,"pre","proj"
25,21,"pre","proj"
26,21,"pre","proj"
27,24,"pre","proj"
28,19,"pre","proj"
29,23,"pre","proj"
30,21,"pre","proj"
31,29,"pre","proj"
32,20,"pre","proj"
33,24,"pre","proj"
34,22,"pre","proj"
35,22,"pre","proj"
36,16,"pre","proj"
37,23,"pre","proj"
38,25,"pre","proj"
39,26,"pre","proj"
40,26,"pre","proj"
41,26,"pre","proj"
42,29,"pre","proj"
43,25,"pre","proj"
44,28,"pre","proj"
45,20,"pre","proj"
46,27,"pre","proj"
47,16,"pre","proj"
48,26,"pre","proj"
49,20,"pre","proj"
50,28,"pre","proj"
51,16,"pre","proj"
52,25,"pre","proj"
53,26,"pre","proj"
54,20,"pre","proj"
55,26,"pre","proj"
56,24,"pre","proj"
57,29,"pre","proj"
58,21,"pre","proj"
59,28,"pre","proj"
60,15,"pre","proj"
61,32,"pre","proj"
62,26,"pre","proj"
63,17,"pre","proj"
64,20,"pre","proj"
65,21,"pre","proj"
66,23,"pre","proj"
67,23,"pre","proj"
68,26,"pre","proj"
69,18,"pre","proj"
70,26,"pre","proj"
71,17,"pre","proj"
72,27,"pre","proj"
73,23,"pre","proj"
74,20,"pre","proj"
75,23,"pre","proj"
76,16,"pre","proj"
77,21,"pre","proj"
78,25,"pre","proj"
79,28,"pre","proj"
80,29,"pre","proj"
81,19,"pre","proj"
82,28,"pre","proj"
83,25,"pre","proj"
84,21,"pre","proj"
85,21,"pre","proj"
86,25,"pre","proj"
87,26,"pre","proj"
88,26,"pre","proj"
89,22,"pre","proj"
90,31,"pre","proj"
91,27,"pre","proj"
92,19,"pre","proj"
93,27,"pre","proj"
94,25,"pre","proj"
95,27,"pre","proj"
96,30,"pre","proj"
97,32,"pre","proj"
98,23,"pre","proj"
99,25,"pre","proj"
100,28,"pre","proj"
101,21,"pre","proj"
102,24,"pre","proj"
103,18,"pre","proj"
104,20,"pre","proj"
105,27,"pre","proj"
106,25,"pre","proj"
107,29,"pre","proj"
108,24,"pre","proj"
109,20,"pre","proj"
110,22,"pre","proj"
111,23,"pre","proj"
112,26,"pre","proj"
113,19,"pre","proj"
114,22,"pre","proj"
115,18,"pre","proj"
116,22,"pre","proj"
117,13,"pre","proj"
118,19,"pre","proj"
119,19,"pre","proj"
120,19,"pre","proj"
121,23,"pre","proj"
122,21,"pre","proj"
123,22,"pre","proj"
124,35,"pre","proj"
125,20,"pre","proj"
126,27,"pre","proj"
127,22,"pre","proj"
128,19,"pre","proj"
129,22,"pre","proj"
130,20,"pre","proj"
131,27,"pre","proj"
132,17,"pre","proj"
133,28,"pre","proj"
134,22,"pre","proj"
135,27,"pre","proj"
136,30,"pre","proj"
137,14,"pre","proj"
138,29,"pre","proj"
139,22,"pre","proj"
140,16,"pre","proj"
141,19,"pre","proj"
142,18,"pre","proj"
143,23,"pre","proj"
144,25,"pre","proj"
145,29,"pre","proj"
146,22,"pre","proj"
147,25,"pre","proj"
148,27,"pre","proj"
149,31,"pre","proj"
150,19,"pre","proj"
151,24,"pre","proj"
152,24,"pre","proj"
153,23,"pre","proj"
154,24,"pre","proj"
155,21,"pre","proj"
156,24,"pre","proj"
157,20,"pre","proj"
158,24,"pre","proj"
159,25,"pre","proj"
160,25,"pre","proj"
161,27,"pre","proj"
162,20,"pre","proj"
163,23,"pre","proj"
164,22,"pre","proj"
165,18,"pre","proj"
166,32,"pre","proj"
167,18,"pre","proj"
168,25,"pre","proj"
169,20,"pre","proj"
170,21,"pre","proj"
171,22,"pre","proj"
172,32,"pre","proj"
173,19,"pre","proj"
