"survey_date","project_name","site","time","transect","distance_ft","depth_mllw_ft","eg_shoots","bed_patch","density","eq_PA","substrate","notes"
"6/24/2024","Worked Example","project","preliminary","T1",0,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",0.87,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",1.74,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",2.61,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",3.48,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",4.35,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",5.22,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",6.09,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",6.96,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",7.83,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",8.7,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",9.57,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",10.44,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",11.31,NA,8,"bed",33,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",12.18,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",13.05,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",13.92,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",14.79,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",15.66,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",16.53,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",17.4,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",18.27,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",19.14,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",20.01,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",20.88,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",21.75,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",22.62,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",23.49,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",24.36,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",25.23,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",26.1,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",26.97,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",27.84,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",28.71,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",29.58,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",30.45,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",31.32,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",32.19,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",33.06,NA,4,"bed",17,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",33.93,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",34.8,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",35.67,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",36.54,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",37.41,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",38.28,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",39.15,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",40.02,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",40.89,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",41.76,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",42.63,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",43.5,NA,8,"bed",34,NA,NA,NA
